data;^SP500TR;AEE;AEP;CNP;D;ED;EIX;ES;ETR;EXC;FE;HE;IDA;NEE;NWE;OGE;PCG;PEG;PNW;PPL
2022-03-21;1,01811585;1,03335242;1,02944604;1,04681579;1,03322241;1,04487037;1,06403699;1,03871517;1,04915499;1,05225421;1,03940663;1,00169159;1,03292530;1,01906042;1,04035723;1,03879172;1,03454240;1,02260486;1,04125030;1,03449579
2022-03-28;1,00079036;1,04417310;1,04822387;1,02433423;1,02810554;1,03700893;1,03270830;1,03669497;1,04580671;1,04724248;1,03902757;1,04656204;1,03222698;1,02108633;1,03523624;1,03458649;1,02420694;1,04025752;1,04395864;1,05183023
2022-04-04;0,98764530;1,02405278;1,01457983;1,04301758;1,02374580;1,01872867;1,02308026;1,02994204;1,02689643;1,05182547;1,01888824;1,00276623;0,99897922;1,00443381;0,99721806;1,00339154;1,04645487;1,01449491;0,99394863;1,00310145
2022-04-11;0,97889609;0,99155273;0,99077592;0,99722997;0,98891195;1,00122545;0,99847102;1,00075653;1,00713610;0,97805687;0,99852566;1,00873560;0,97138714;0,96190019;0,98194946;1,01499515;0,95794385;1,00984884;0,98351101;1,00309163
2022-04-18;0,97261908;1,00654522;0,98245775;0,98240740;0,97128114;0,98429068;0,99693775;0,99352059;0,99307562;0,99224966;0,97067477;0,99020065;0,97860963;0,89300798;1,02874343;0,99927924;0,98617884;1,01483509;0,99716252;1,02362996
2022-04-25;0,96742210;0,95891833;0,98862838;0,96167133;0,96171530;0,96113575;0,96048595;0,95000009;0,96359649;0,96156223;0,94131721;0,94614492;0,94221981;0,96037870;0,92089014;0,92980764;1,04286883;0,94288015;0,92084866;0,94713972
2022-05-02;0,99819693;0,99730879;1,00544830;1,00392023;1,02915238;1,01337084;1,02195056;1,03432456;1,00353376;1,00598554;0,98545373;1,01532473;1,02053624;1,02041667;1,03545602;1,01680432;0,99288540;0,99669822;1,05302396;1,03249745
2022-05-09;0,97645431;1,00496486;1,00040154;1,00976263;0,99512011;1,01510961;0,93115230;0,98827452;0,99090845;0,99298760;1,00499624;1,00790613;1,00868296;0,96315710;1,00988056;0,99872883;0,93312107;0,98775781;0,98812725;0,98426251
2022-05-16;0,97000429;0,99495237;1,00799034;0,98549785;0,98720267;1,00429757;1,00595787;1,01152938;0,99837855;1,01620054;0,99670673;0,99809839;0,99060466;1,02034406;1,02277342;1,01502011;1,00170658;0,98498099;1,02826328;1,01494622
2022-05-23;1,06622476;1,04220643;1,03881654;1,06594648;1,03174211;1,05858556;1,06393325;1,03978798;1,03504862;1,05726412;1,02501741;1,04964303;1,03286709;1,08719478;1,03447140;1,04038149;1,05195907;1,02205778;1,04527951;1,03972609
2022-05-30;0,98847585;0,96644214;0,98435824;0,97686604;0,97123043;0,97345389;0,99600328;0,98928185;0,99108031;0,97753274;0,96431066;0,98329888;0,97672519;1,02206107;0,96364791;0,98842821;1,00404853;0,99217823;0,98437500;0,98254289
2022-06-06;0,94964457;0,95638190;0,96380585;0,95105784;0,96660614;0,97181064;0,95987410;0,95373787;0,96608316;0,94418217;0,96943616;0,98953013;0,98752671;0,96467155;0,98974192;0,95634135;0,88548382;0,95576646;0,95147784;0,94971475
2022-06-13;0,94254282;0,91784875;0,89975598;0,90969457;0,92560833;0,91308477;0,87966545;0,88583428;0,88380934;0,88915448;0,88448284;0,90312713;0,92506356;0,93281535;0,91240400;0,89288452;0,89071046;0,91075276;0,89407281;0,89516424
2022-06-20;1,06460698;1,08010813;1,05870375;1,05291969;1,06443257;1,06963626;1,06568242;1,06886370;1,07895759;1,05817659;1,03842955;1,05545443;1,06144276;1,10182179;1,07557493;1,07426466;1,04805731;1,05662606;1,08844037;1,07723998
2022-06-27;0,97822285;1,04868613;1,04647404;1,05719233;1,03967259;1,04637874;1,01528897;1,04559122;1,04296707;1,06421794;1,05470638;1,03626041;1,04579086;1,03255568;1,04185326;1,06461025;0,99902438;1,03455451;1,04083613;1,02511053
2022-07-04;1,01975886;0,95183858;0,96314436;0,96295091;0,97710481;0,94580442;0,99088976;0,95605269;0,95481351;0,96136317;0,94406299;0,95429659;0,96364955;0,99615182;0,93965935;0,94905109;1,00292961;0,96582665;0,94898274;0,97910696
